title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats
Mazda Mazda3,2990,66000,2009,,Petrol,Saloon,1.6L,Manual,4,5
BMW 3 Series,2495,171090,2010,3,Petrol,Saloon,2.0L,Manual,4,5
Nissan 350 Z,4300,100479,2004,3,Petrol,Coupe,3.5L,Manual,2,2
MINI Hatch,2499,68000,2008,4,Petrol,Hatchback,1.6L,Manual,3,4
Alfa Romeo Mito,1500,120000,2011,2,Petrol,Hatchback,1.4L,Manual,3,4
BMW 3 Series,2495,113000,2009,6,Petrol,Saloon,2.0L,Manual,4,5
SEAT Ibiza,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
Ford Focus,2950,105000,2011,,Petrol,Hatchback,1.6L,Manual,5,5
Vauxhall Astra,3300,71000,2012,4,Petrol,Hatchback,1.4L,Manual,5,5
Renault Fluence,2490,67104,2010,1,Diesel,Saloon,1.5L,Manual,4,5
Peugeot 207,1490,75000,2007,,Petrol,Hatchback,1.4L,Manual,3,5
Volkswagen Passat,2495,104000,2006,,Petrol,Saloon,3.2L,Automatic,4,5
BMW 3 Series,1995,75350,2005,3,Petrol,Saloon,1.8L,Automatic,4,5
Honda Accord,3490,22641,2006,2,Petrol,Saloon,2.0L,Manual,4,5
BMW 3 Series,2490,104392,2010,4,Petrol,Saloon,2.0L,Manual,4,5
Honda Civic,2995,104068,2010,,Petrol,Hatchback,1.4L,Manual,5,5
Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5
Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Ford Focus,988,111479,2005,2,Petrol,Hatchback,1.6L,Manual,3,5
Citroen XM,3250,126000,1995,4,Diesel,Hatchback,2.5L,Manual,5,
BMW 3 Series,1389,80000,2000,,Petrol,Saloon,1.9L,Manual,4,5
MINI Hatch,1395,99911,2003,4,Petrol,Hatchback,1.6L,Manual,3,4
MINI Hatch,2490,46000,2007,3,Petrol,Hatchback,1.6L,Manual,3,4
Vauxhall Astra,2895,120000,2014,,Petrol,Hatchback,1.6L,Manual,5,5
Vauxhall Antara,3289,79000,2012,,Diesel,SUV,2.2L,Manual,5,5
Vauxhall Insignia,3799,114000,2014,3,Petrol,Hatchback,1.8L,Manual,5,5
Peugeot 207,2945,66000,2008,3,Petrol,Hatchback,1.6L,Automatic,5,5
Nissan Note,2499,65000,2009,3,Petrol,Hatchback,1.4L,Manual,5,5
Ford Focus,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4
SEAT Ibiza,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5
Mercedes-Benz A Class,995,184000,2009,,Diesel,Hatchback,2.0L,Manual,5,5
BMW 5 Series,2950,139000,2004,,Petrol,Saloon,3.0L,Automatic,4,5
Honda Cr-v,1389,120000,1999,,Petrol,SUV,2.0L,Automatic,5,5
Proton Savvy,990,85000,2007,,Petrol,Hatchback,1.2L,Manual,5,4
Vauxhall Corsa,1850,93000,2009,4,Petrol,Hatchback,1.4L,Manual,5,5
Peugeot 207,1990,51116,2008,3,Petrol,Hatchback,1.4L,Manual,5,5
MINI Hatch,2695,69000,2005,,Petrol,Hatchback,1.6L,Manual,3,4
Nissan Micra,1895,111998,2007,2,Petrol,Hatchback,1.2L,Automatic,3,5
Vauxhall Astra,1995,93101,2008,6,Petrol,Hatchback,1.6L,Manual,5,5
Ford Focus,2950,105000,2011,,Petrol,Hatchback,1.6L,Manual,5,5
MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Fiat Panda,1395,45000,2010,,Petrol,Hatchback,1.1L,Manual,5,4
BMW 3 Series,2495,74325,2007,,Petrol,Saloon,2.0L,Manual,4,5
Vauxhall Corsa,1498,102329,2007,,Petrol,Hatchback,1.0L,Manual,3,5
Mazda Mazda2,2495,97000,2008,2,Petrol,Hatchback,1.5L,Manual,5,5
Vauxhall Insignia,1949,113000,2011,,Diesel,Hatchback,2.0L,Manual,5,5
Vauxhall Corsa,2700,84000,2014,3,Diesel,Hatchback,1.3L,Manual,5,5
Renault Megane,1990,43000,2007,,Petrol,Hatchback,1.4L,Manual,3,5
Renault Clio,1400,92000,2006,1,Petrol,Hatchback,1.4L,Manual,5,5
Hyundai i20,1500,100600,2010,4,Petrol,Hatchback,1.2L,Manual,5,5
Ford Focus,2995,100000,2012,,Diesel,Hatchback,1.6L,Manual,5,5
Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Citroen C3,1300,120000,2010,1,Petrol,Hatchback,1.6L,Manual,5,5
Audi A6 Saloon,4250,95000,2006,,Petrol,Saloon,3.1L,Automatic,4,5
Toyota Yaris,2999,27682,2007,3,Petrol,Hatchback,1.3L,Manual,5,5
BMW 1 Series,2495,89900,2007,4,Petrol,Hatchback,1.6L,Manual,5,5
Fiat 500,2499,80742,2011,3,Petrol,Hatchback,1.2L,Manual,3,4
SEAT Ibiza,2394,55926,2008,3,Petrol,Hatchback,1.4L,Manual,3,5
Hyundai i30,1999,105000,2010,7,Petrol,Hatchback,1.4L,Manual,5,5
Mercedes-Benz M Class,2495,132000,2004,,Petrol,SUV,3.7L,Automatic,5,5
Peugeot 308,3495,79000,2010,,Petrol,Hatchback,1.6L,Automatic,5,5
Audi A4,3995,89000,2008,4,Petrol,Saloon,1.8L,Manual,4,5
Volkswagen Polo,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
Ford S-max,1839,103900,2009,4,Diesel,MPV,2.0L,Manual,5,7
Volkswagen Polo,2595,102000,2010,2,Diesel,Hatchback,1.6L,Manual,5,5
Honda Civic,4700,95000,2011,7,Petrol,Hatchback,1.4L,Automatic,3,5
Peugeot 1007,2490,36600,2007,,Petrol,Hatchback,1.6L,Automatic,3,4
Honda Odyssey,2449,88240,2012,,Petrol,MPV,2.4L,Automatic,5,7
Vauxhall Corsa,990,130000,2006,1,Petrol,Hatchback,1.2L,Manual,3,5
Peugeot 307 CC,1950,70345,2008,5,Petrol,Convertible,1.6L,Manual,2,4
Citroen C1,1390,97000,2011,3,Petrol,Hatchback,1.0L,Manual,5,4
Hyundai i20,3495,112000,2010,2,Petrol,Hatchback,1.4L,Automatic,5,5
Nissan Micra,1490,49000,2004,,Petrol,Hatchback,1.0L,Manual,5,5
SEAT Ibiza,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5
Honda Civic,9198,78691,2018,,Diesel,Hatchback,1.6L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Ford Focus,2350,89000,2010,6,Diesel,Hatchback,1.6L,Manual,5,5
Honda Jazz,1399,171000,2007,1,Petrol,Hatchback,1.4L,Manual,5,5
MINI Hatch,1189,125000,2005,,Petrol,Hatchback,1.6L,Manual,3,4
BMW 5 Series,3889,115000,2011,,Diesel,Saloon,2.0L,Manual,4,5
BMW 3 Series,2599,99000,2007,1,Petrol,Saloon,3.0L,Manual,4,5
Vauxhall Corsa,2795,71000,2011,3,Petrol,Hatchback,1.0L,Manual,3,5
Mercedes-Benz CLK,3995,70000,2009,,Petrol,Coupe,2.0L,Automatic,2,5
Ford Fiesta,2699,97500,2009,,Petrol,Hatchback,1.3L,Manual,3,5
Vauxhall Corsa,3999,36000,2014,2,Petrol,Hatchback,1.4L,Manual,3,5
Citroen DS4,2700,97385,2013,4,Petrol,Hatchback,1.6L,Manual,5,5
Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
KIA RIO,3250,66800,2013,1,Petrol,Hatchback,1.3L,Manual,3,5
BMW 3 SERIES,2898,98979,2003,,Petrol,Coupe,2.5L,Automatic,2,5
Volkswagen Golf,2950,98207,2007,4,Petrol,Hatchback,1.6L,Automatic,5,5
Vauxhall Corsa,1749,60000,2006,,Petrol,Hatchback,1.4L,Manual,5,5
Ford Focus,2495,101591,2010,,Petrol,Hatchback,1.6L,Manual,5,5
Mazda Mazda3,3799,68000,2011,2,Petrol,Hatchback,1.6L,Manual,5,5
Toyota Yaris,1100,164470,2006,3,Petrol,Hatchback,1.3L,Manual,5,5
Vauxhall Corsa,2490,86000,2011,,Petrol,Hatchback,1.4L,Manual,5,5
Hyundai i30,3250,90000,2010,,Petrol,Estate,1.6L,Automatic,5,5
Volkswagen Polo,3000,123000,2010,,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Polo,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Ford Fiesta,2995,67361,2009,1,Petrol,Hatchback,1.3L,Manual,3,5
Mitsubishi Outlander,4495,116000,2009,3,Petrol,SUV,2.4L,Automatic,5,7
Volkswagen Scirocco,3750,99000,2010,3,Petrol,Hatchback,1.4L,Manual,3,4
Ford Fiesta,2945,80997,2009,,Petrol,Hatchback,1.3L,Manual,3,5
Volkswagen Passat,2889,100000,2009,,Diesel,Estate,2.0L,Manual,5,5
Toyota Corolla,995,110846,2005,3,Diesel,Hatchback,2.0L,Manual,5,5
SEAT Ibiza,3350,65000,2013,4,Petrol,Hatchback,1.4L,Manual,3,3
Audi A3,2499,85578,2008,5,Petrol,Hatchback,1.6L,Manual,5,5
Vauxhall Corsa,2100,77502,2012,5,Petrol,Hatchback,1.2L,Manual,5,5
Audi A3,1800,130500,2011,2,Petrol,Hatchback,1.6L,Manual,3,5
Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5
KIA Sportage,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5
Peugeot 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5
Vauxhall Astra,2300,64000,2010,6,Petrol,Hatchback,1.4L,Manual,5,5
Vauxhall Corsa,1500,96270,2008,9,Petrol,Hatchback,1.4L,Manual,5,5
Ford KA,1195,45000,2005,,Petrol,Hatchback,1.3L,Manual,3,5
Vauxhall Astra,3250,78000,2011,,Petrol,Hatchback,1.6L,Manual,5,5
Citroen DS3,5299,54000,2014,,Petrol,Hatchback,1.6L,Manual,3,5
Volkswagen Passat,2250,49000,2005,,Diesel,Saloon,1.9L,Automatic,4,5
Vauxhall Zafira,2495,95000,2011,2,Petrol,MPV,1.8L,Manual,5,7
Ford Fiesta,7699,58000,2015,,Petrol,Hatchback,1.0L,Manual,3,5
Fiat Grande Punto,1999,76850,2009,3,Petrol,Hatchback,1.4L,Manual,3,5
Mercedes-Benz B Class,2299,99000,2009,4,Diesel,MPV,2.0L,Manual,5,5
Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5
Ford Focus,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Vauxhall Insignia,3450,147000,2016,2,Diesel,Hatchback,1.6L,Manual,5,5
BMW 3 Series,4000,114121,2006,,Petrol,Coupe,3.0L,Automatic,2,4
Renault Clio,1899,82000,2009,2,Petrol,Hatchback,1.2L,Manual,3,5
Peugeot 508,3995,91000,2011,,Diesel,Saloon,2.2L,Automatic,4,5
Hyundai i20,5799,69550,2016,,Petrol,Coupe,1.2L,Manual,3,5
Mercedes-Benz 260,2995,57400,1991,,Petrol,Saloon,2.6L,Automatic,4,
Saab 9-3,2000,138000,2008,6,Petrol,Saloon,2.0L,Automatic,4,5
Volkswagen Golf,2485,77720,2006,,Petrol,Hatchback,1.4L,Manual,3,5
SKODA Fabia,1995,84000,2008,,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Golf,2490,59042,2006,3,Diesel,Hatchback,1.9L,Manual,5,5
Volkswagen Polo,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5
Honda Civic,9198,78691,2018,,Diesel,Hatchback,1.6L,Manual,5,5
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
MG Midget,1875,75043,1972,3,Petrol,Convertible,1.3L,Manual,2,
Vauxhall Adam,2745,120000,2014,,Petrol,Hatchback,1.4L,Manual,3,4
Peugeot 1007,1990,56817,2008,,Petrol,Hatchback,1.4L,Manual,3,4
Nissan Micra,1650,85285,2009,,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Corsa,2250,82000,2010,,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Polo,3795,87009,2009,4,Petrol,Hatchback,1.4L,Manual,5,5
Ford Mondeo,5450,69756,2012,4,Diesel,Hatchback,2.2L,Manual,5,5
Audi A6 Avant,2600,234680,2011,1,Diesel,Estate,2.0L,Manual,5,5
BMW 3 Series,2999,77708,2001,7,Petrol,Coupe,2.2L,Manual,2,5
Vauxhall Meriva,1990,68840,2011,4,Petrol,MPV,1.4L,Manual,5,5
Ford Focus,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
Ford Focus,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5
Ford Focus,2395,109000,2009,,Petrol,Hatchback,1.8L,Manual,5,5
BMW 3 Series,1789,119300,2002,,Petrol,Saloon,2.2L,Manual,4,5
Mercedes-Benz B Class,5995,78000,2013,,Diesel,MPV,1.8L,Automatic,5,5
Nissan Qashqai,3795,120090,2011,2,Petrol,SUV,1.6L,Manual,5,5
Nissan Almera Tino,990,93000,2004,3,Petrol,MPV,1.8L,Manual,5,5
Mercedes-Benz C Class,3100,140000,2012,2,Diesel,Coupe,2.1L,Manual,2,4
Ford KA,1950,88000,2009,,Petrol,Hatchback,1.2L,Manual,3,4
Vauxhall Corsa,2250,77000,2009,7,Petrol,Hatchback,1.2L,Manual,5,5
SKODA Fabia,2495,124138,2011,3,Petrol,Hatchback,1.2L,Automatic,5,5
Renault Megane,2495,101347,2011,2,Petrol,Estate,1.6L,Manual,5,5
Ford Focus,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5
Ford Focus,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
BMW 1 Series,2999,107000,2009,5,Petrol,Hatchback,1.6L,Automatic,3,4
Mercedes-Benz C Class,2495,130000,2007,,Petrol,Saloon,1.8L,Automatic,4,5
Saab 9-3,2299,67200,2003,3,Petrol,Saloon,2.0L,Manual,4,5
Toyota Yaris,1750,113500,2010,3,Petrol,Hatchback,1.0L,Manual,5,5
MINI Hatch,3100,68160,2010,4,Petrol,Hatchback,1.4L,Manual,3,4
Toyota Avensis,1595,106717,2006,3,Petrol,Hatchback,1.8L,Manual,5,5
Honda Civic,2300,86276,2004,,Petrol Hybrid,Saloon,1.3L,Manual,4,5
Vauxhall Astra,2495,75000,2006,2,Petrol,Hatchback,1.8L,Automatic,5,5
Ford Focus,1950,127569,2010,6,Petrol,Hatchback,1.6L,Manual,5,5
Audi A3,1675,127000,2008,7,Petrol,Hatchback,1.6L,Manual,3,5
Ford Focus,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5
Ford Focus,4449,89653,2012,3,Petrol,Hatchback,1.0L,Manual,5,5
Renault Grand Scenic,2495,98000,2010,,Petrol,MPV,1.4L,Manual,5,7
Ford Mondeo,1400,84000,1998,2,Petrol,Saloon,2.0L,Automatic,4,5
Mercedes-Benz C Class,3100,96123,2009,7,Diesel,Saloon,2.1L,Automatic,4,5
Mazda MAZDA 2,1995,95843,2011,6,Petrol,Hatchback,1.3L,Manual,5,5
Honda Jazz,1750,100500,2009,2,Petrol,Hatchback,1.4L,Manual,5,5
Peugeot 207,2075,82013,2011,4,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Touran,1349,120000,2004,,Diesel,MPV,2.0L,Manual,5,5
Mercedes-Benz C Class,4250,120000,2008,,Petrol,Saloon,1.8L,Automatic,4,5
BMW 3 Series,5995,55000,2010,,Petrol,Convertible,2.0L,Manual,2,4
Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
Peugeot 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5
Volkswagen Golf,3050,158000,2009,4,Petrol,Hatchback,1.4L,Automatic,5,5
Mitsubishi ASX,4950,95000,2014,3,Petrol,SUV,1.6L,Manual,5,5
Honda Jazz,1595,99000,2008,4,Petrol,Hatchback,1.4L,Manual,5,5
MINI Hatch,3945,108528,2012,,Petrol,Hatchback,1.6L,Manual,3,4
Ford KA,889,65000,2003,,Petrol,Hatchback,1.3L,Manual,3,4
Peugeot 207,2495,104000,2009,,Petrol,Hatchback,1.6L,Automatic,5,5
Volkswagen Golf,1795,50760,2002,,Petrol,Hatchback,1.6L,Automatic,5,5
Fiat Grande Punto,1600,69900,2007,2,Petrol,Hatchback,1.2L,Manual,5,5
Mercedes-Benz C Class,4149,115000,2008,5,Petrol,Saloon,1.8L,Automatic,4,5
Volkswagen Beetle,2250,129111,2004,,Petrol,Convertible,2.0L,Manual,2,4
Ford Focus,2950,105000,2011,,Petrol,Hatchback,1.6L,Manual,5,5
Peugeot 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5
MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4
Mercedes-Benz C Class,12450,64000,2015,5,Petrol,Saloon,2.0L,Automatic,4,5
Alfa Romeo Mito,2450,92000,2010,6,Petrol,Hatchback,1.4L,Manual,3,4
Vauxhall Corsa,1889,126000,2010,,Petrol,Hatchback,1.2L,Manual,3,5
Lexus GS 300,1990,72000,1997,5,Petrol,Saloon,3.0L,Automatic,4,5
Land Rover Freelander,1000,81783,1999,2,Diesel,SUV,2.0L,Manual,5,5
Volkswagen Polo,2499,102000,2008,4,Petrol,Hatchback,1.4L,Manual,3,5
BMW 1 Series,2950,81000,2008,4,Petrol,Hatchback,1.6L,Manual,5,5
Peugeot 307,1700,56000,2007,3,Petrol,Hatchback,1.6L,Manual,3,5
Fiat Grande Punto,2290,25300,2007,,Petrol,Hatchback,1.2L,Manual,3,4
Fiat Punto EVO,2495,81858,2011,4,Petrol,Hatchback,1.4L,Manual,5,5
Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5
MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Astra,2900,119035,2010,5,Petrol,Hatchback,1.6L,Automatic,5,5
Renault Megane,1995,102541,2009,3,Petrol,Hatchback,1.6L,Manual,5,5
Volkswagen Polo,2110,93930,2009,4,Petrol,Hatchback,1.2L,Manual,5,5
Toyota Yaris,2390,35000,2005,2,Petrol,Hatchback,1.3L,Manual,5,5
